topic,rank,word,weight
0,1,ai,0.08088982591952518
0,2,intelligence,0.047445848169180814
0,3,artificial,0.037498844640396316
0,4,human,0.029323664851513914
0,5,agi,0.02138453235826756
0,6,people,0.020687990065282918
0,7,general,0.016826112040856968
0,8,think,0.015709103642847534
0,9,humans,0.01559981673158715
0,10,real,0.013624636391623876
1,1,ai,0.08828774237254347
1,2,chatgpt,0.02122468838273137
1,3,technology,0.015892603794894537
1,4,education,0.01432566038793682
1,5,learning,0.01369738756894121
1,6,global,0.013440206449245632
1,7,development,0.013171232996463327
1,8,research,0.012342942512788448
1,9,tech,0.011613640126949968
1,10,openai,0.011509532056159956
2,1,ai,0.11320261979065314
2,2,learning,0.025557379115244687
2,3,technology,0.02278993090784608
2,4,machine,0.021225142013394236
2,5,human,0.02023364139435545
2,6,business,0.019026744397942313
2,7,power,0.016648158879476998
2,8,jobs,0.015549174814289747
2,9,industries,0.014667312913760682
2,10,potential,0.014547933349646864
3,1,ai,0.08137718772799045
3,2,blockchain,0.03562873314079687
3,3,decentralized,0.026395115419149434
3,4,technology,0.020860388416224205
3,5,crypto,0.02081655320203882
3,6,market,0.020306095098084873
3,7,nvidia,0.01922742940319529
3,8,platform,0.01815216526534255
3,9,stock,0.01585991387641325
3,10,investment,0.015613096502440802
4,1,ai,0.09593265832097154
4,2,art,0.04450360717165932
4,3,generated,0.030638046026987987
4,4,image,0.028924178262542875
4,5,music,0.024340323588808336
4,6,images,0.023610247751374165
4,7,copyright,0.02334008809535242
4,8,shirt,0.02111002493496464
4,9,human,0.01984571102397186
4,10,create,0.017668199272210493
5,1,ai,0.08919047861002126
5,2,health,0.059296265028839265
5,3,healthcare,0.058984969626549116
5,4,care,0.03965526834380795
5,5,medical,0.03537846912299568
5,6,cancer,0.03502147168963372
5,7,medicine,0.030220820338460675
5,8,patients,0.027560926325064367
5,9,patient,0.025672537898545383
5,10,clinical,0.024210071515549395
