model,topic,rank,word,weight
LDA,0,1,ai,0.09247273951768875
LDA,0,2,intelligence,0.011078194715082645
LDA,0,3,human,0.007963568903505802
LDA,0,4,artificial,0.007775427307933569
LDA,0,5,people,0.004547881428152323
LDA,0,6,real,0.0031026683282107115
LDA,0,7,agi,0.002958178287371993
LDA,0,8,think,0.002946171909570694
LDA,0,9,need,0.0029359785839915276
LDA,0,10,general,0.0027808905579149723
LDA,0,11,know,0.0027763706166297197
LDA,0,12,learning,0.002723512938246131
LDA,0,13,humans,0.0025860494934022427
LDA,0,14,first,0.0025730684865266085
LDA,0,15,technology,0.002415487077087164
LDA,0,16,years,0.0023156991228461266
LDA,0,17,create,0.0022335085086524487
LDA,0,18,next,0.002187291858717799
LDA,0,19,im,0.002168819308280945
LDA,0,20,help,0.002121683908626437
LDA,1,1,ai,0.0692223384976387
LDA,1,2,technology,0.008778992109000683
LDA,1,3,blockchain,0.0061537520959973335
LDA,1,4,potential,0.006030846852809191
LDA,1,5,decentralized,0.005804905202239752
LDA,1,6,global,0.005266651511192322
LDA,1,7,innovation,0.005265345331281424
LDA,1,8,platform,0.005137520842254162
LDA,1,9,development,0.004999432247132063
LDA,1,10,digital,0.004975884687155485
LDA,1,11,market,0.004731854889541864
LDA,1,12,systems,0.00455059390515089
LDA,1,13,technologies,0.004106609150767326
LDA,1,14,power,0.004004352260380983
LDA,1,15,users,0.0036754158791154623
LDA,1,16,companies,0.0033639143221080303
LDA,1,17,tasks,0.0033332090824842453
LDA,1,18,security,0.0032930250745266676
LDA,1,19,growth,0.0031708141323179007
LDA,1,20,advanced,0.0031481205951422453
LDA,2,1,openai,0.014122344553470612
LDA,2,2,company,0.011357435025274754
LDA,2,3,billion,0.011219868436455727
LDA,2,4,elon,0.010638583451509476
LDA,2,5,musk,0.009072475135326385
LDA,2,6,ceo,0.008781184442341328
LDA,2,7,apple,0.005830632988363504
LDA,2,8,said,0.005729559808969498
LDA,2,9,xai,0.005471530836075544
LDA,2,10,million,0.005248271860182285
LDA,2,11,deepseek,0.00459569925442338
LDA,2,12,startup,0.004584415350109339
LDA,2,13,white,0.0038893239106982946
LDA,2,14,altman,0.0038130858447402716
LDA,2,15,sam,0.003750965930521488
LDA,2,16,musks,0.0036414822097867727
LDA,2,17,announced,0.003582707140594721
LDA,2,18,summit,0.0035544950515031815
LDA,2,19,house,0.0035007153637707233
LDA,2,20,automate,0.0032129709143191576
LDA,3,1,transparent,0.007811284624040127
LDA,3,2,sustainable,0.005529081914573908
LDA,3,3,silicon,0.00536240404471755
LDA,3,4,european,0.0053427694365382195
LDA,3,5,billions,0.0050226254388689995
LDA,3,6,gpus,0.004563461523503065
LDA,3,7,talent,0.004274756647646427
LDA,3,8,gpu,0.0042091673240065575
LDA,3,9,profound,0.004112261347472668
LDA,3,10,specifically,0.003770860144868493
LDA,3,11,line,0.0037457009311765432
LDA,3,12,mr,0.003736268961802125
LDA,3,13,nvidias,0.0037297129165381193
LDA,3,14,changes,0.003724599489942193
LDA,3,15,sounds,0.0036377031356096268
LDA,3,16,air,0.003616079455241561
LDA,3,17,physics,0.003568677930161357
LDA,3,18,earnings,0.003390564350411296
LDA,3,19,film,0.003106390591710806
LDA,3,20,election,0.003051449079066515
LDA,4,1,transparency,0.012054909951984882
LDA,4,2,defi,0.010738237760961056
LDA,4,3,dive,0.007385535631328821
LDA,4,4,space,0.007331726606935263
LDA,4,5,intersection,0.006990600377321243
LDA,4,6,trained,0.0063324058428406715
LDA,4,7,societies,0.005312927532941103
LDA,4,8,aliens,0.005288208834826946
LDA,4,9,battles,0.005260694772005081
LDA,4,10,anthropic,0.00522641884163022
LDA,4,11,expand,0.00515636894851923
LDA,4,12,reported,0.00486150523647666
LDA,4,13,integrates,0.004771222826093435
LDA,4,14,androids,0.0046625942923128605
LDA,4,15,asking,0.004579933825880289
LDA,4,16,implants,0.0044295345433056355
LDA,4,17,shifters,0.00432839710265398
LDA,4,18,clones,0.004294557962566614
LDA,4,19,kal,0.004221025388687849
LDA,4,20,overall,0.004027704708278179
LDA,5,1,art,0.010902360081672668
LDA,5,2,copyright,0.007019215263426304
LDA,5,3,words,0.006022119428962469
LDA,5,4,image,0.005916529800742865
LDA,5,5,ai-generated,0.00586209399625659
LDA,5,6,nothing,0.0058446419425308704
LDA,5,7,driving,0.005675290245562792
LDA,5,8,collective,0.005068229977041483
LDA,5,9,llm,0.004807601682841778
LDA,5,10,shows,0.004411885980516672
LDA,5,11,cognitive,0.004241574089974165
LDA,5,12,city,0.0036491507198661566
LDA,5,13,points,0.0035935004707425833
LDA,5,14,individual,0.0034913471899926662
LDA,5,15,diverse,0.0034870856907218695
LDA,5,16,tesla,0.0034739705733954906
LDA,5,17,images,0.0034485673531889915
LDA,5,18,logic,0.0032545640133321285
LDA,5,19,picture,0.003250744193792343
LDA,5,20,street,0.0032348278909921646
