k,mean_c_v,std_c_v,mean_perp,std_perp,n_quarters
3,0.493954342619875,0.05017362967167854,2146.7986340633875,210.9227846616159,11
4,0.4944247969038931,0.062228982064398114,2079.150158606248,182.53822495507777,11
5,0.49694927518620796,0.03625825176021483,2056.222004570241,177.29306237302768,11
6,0.5228662889524788,0.03676485850822762,2042.6603585075834,186.25089899295665,11
7,0.516232262160128,0.047100160003377994,2053.645504915807,177.38964085530176,11
8,0.5136899146654407,0.03915857546373798,2060.3498827082994,184.92778554033055,11
9,0.5011183243534134,0.03126281970253005,2067.598979436775,198.68590454363104,11
10,0.5021045250098563,0.03664330303203769,2067.913115876053,198.31559247000772,11
11,0.5005676297689333,0.03241825038017466,2068.5140141006723,192.05663495848006,11
12,0.5048593953912669,0.03911086620276476,2091.5165983139427,191.21367479735136,11
